"","DateTime","AirPressure_kpa","AirTemp_c","WL_cm","WLTemp_c"
"1",2022-11-19 14:45:00,62.2594,7.22,77.153125498307,8.522
"2",2022-11-19 15:00:00,62.235,7.169,75.830214896111,7.1
"3",2022-11-19 15:15:00,62.2369,7.133,75.5956201092914,6.916
"4",2022-11-19 15:30:00,62.2219,7.106,75.6211195426415,6.851
"5",2022-11-19 15:45:00,62.2183,7.085,75.5099420132355,6.818
"6",2022-11-19 16:00:00,62.2076,7.071,75.4966823078935,6.799
"7",2022-11-19 16:15:00,62.224,7.059,75.4334437131858,6.786
"8",2022-11-19 16:30:00,62.2253,7.049,75.3865247558217,6.777
"9",2022-11-19 16:45:00,62.2166,7.04,75.4120241891717,6.771
"10",2022-11-19 17:00:00,62.2211,7.033,75.3396057984578,6.766
"11",2022-11-19 17:15:00,62.2376,7.028,75.3314459797858,6.762
"12",2022-11-19 17:30:00,62.2605,7.023,75.3222661837799,6.759
"13",2022-11-19 17:45:00,62.2529,7.019,75.3304260024519,6.757
"14",2022-11-19 18:00:00,62.2663,7.015,75.3304260024518,6.755
"15",2022-11-19 18:15:00,62.2741,7.011,75.262087521074,6.754
"16",2022-11-19 18:30:00,62.2759,7.008,75.2671874077439,6.753
"17",2022-11-19 18:45:00,62.2844,7.006,75.221288427714,6.752
"18",2022-11-19 19:00:00,62.2943,7.003,75.2671874077439,6.752
"19",2022-11-19 19:15:00,62.3121,6.995,75.178449379686,6.751
"20",2022-11-19 19:30:00,62.3186,6.987,75.1488700370001,6.75
"21",2022-11-19 19:45:00,62.329,6.97,75.1417301956621,6.75
"22",2022-11-19 20:00:00,62.329,6.95,75.1458101049981,6.75
"23",2022-11-19 20:15:00,62.3441,6.949,75.0927712836302,6.749
"24",2022-11-19 20:30:00,62.3577,6.941,75.1121508529762,6.749
"25",2022-11-19 20:45:00,62.3742,6.943,75.0142330289123,6.749
"26",2022-11-19 21:00:00,62.3912,6.956,74.9938334822324,6.749
"27",2022-11-19 21:15:00,62.4121,6.969,74.9642541395464,6.749
"28",2022-11-19 21:30:00,62.4234,6.979,74.9458945475344,6.749
"29",2022-11-19 21:45:00,62.4348,6.986,74.9652741168803,6.749
"30",2022-11-19 22:00:00,62.428,6.991,74.9815937542245,6.75
"31",2022-11-19 22:15:00,62.417,6.995,74.9826137315584,6.75
"32",2022-11-19 22:30:00,62.4238,6.999,74.9407946608645,6.749
"33",2022-11-19 22:45:00,62.4249,7.001,74.9091753635104,6.749
"34",2022-11-19 23:00:00,62.4151,7.004,74.9030554995065,6.75
"35",2022-11-19 23:15:00,62.4098,7.007,74.9764938675544,6.749
"36",2022-11-19 23:30:00,62.3989,7.009,74.9183551595165,6.75
"37",2022-11-19 23:45:00,62.3937,7.012,74.8999955675044,6.75
"38",2022-11-20 00:15:00,62.359,7.017,74.8551165648086,6.75
"39",2022-11-20 00:30:00,62.3397,7.019,74.8530766101405,6.75
"40",2022-11-20 00:45:00,62.3317,7.02,74.8785760434906,6.75
"41",2022-11-20 01:00:00,62.3331,7.02,74.8438968141346,6.75
"42",2022-11-20 01:15:00,62.319,7.022,74.8051376754427,6.75
"43",2022-11-20 01:30:00,62.3003,7.024,74.8459367688026,6.751
"44",2022-11-20 01:45:00,62.2906,7.024,74.8041176981087,6.751
"45",2022-11-20 02:00:00,62.278,7.021,74.7908579927667,6.752
"46",2022-11-20 02:15:00,62.2516,7.014,74.8132974941146,6.751
"47",2022-11-20 02:30:00,62.2215,6.979,74.8510366554726,6.752
"48",2022-11-20 02:45:00,62.2267,6.948,74.7653585594167,6.752
"49",2022-11-20 03:00:00,62.2181,6.931,74.7898380154327,6.752
"50",2022-11-20 03:15:00,62.2052,6.915,74.7469989674048,6.752
"51",2022-11-20 03:30:00,62.2096,6.913,74.7337392620628,6.752
"52",2022-11-20 03:45:00,62.2015,6.887,74.7724984007547,6.752
"53",2022-11-20 04:00:00,62.1931,6.881,74.7469989674047,6.752
"54",2022-11-20 04:15:00,62.2059,6.889,74.7429190580688,6.753
"55",2022-11-20 04:30:00,62.2212,6.87,74.7337392620627,6.753
"56",2022-11-20 04:45:00,62.2451,6.863,74.6970200780388,6.753
"57",2022-11-20 05:00:00,62.2561,6.848,74.6807004406948,6.753
"58",2022-11-20 05:15:00,62.2659,6.848,74.6807004406948,6.753
"59",2022-11-20 05:30:00,62.2696,6.849,74.6970200780389,6.753
"60",2022-11-20 05:45:00,62.2823,6.84,74.641941302003,6.753
"61",2022-11-20 06:00:00,62.2898,6.83,74.629701573995,6.754
"62",2022-11-20 06:15:00,62.3034,6.823,74.6460212113388,6.754
"63",2022-11-20 06:30:00,62.3236,6.832,74.5195440219231,6.754
"64",2022-11-20 06:45:00,62.3332,6.862,74.5450434552731,6.754
"65",2022-11-20 07:00:00,62.3601,6.904,74.580742661963,6.754
"66",2022-11-20 07:15:00,62.384,6.938,74.540963545937,6.754
"67",2022-11-20 07:30:00,62.4019,6.962,74.5134241579192,6.754
"68",2022-11-20 07:45:00,62.4195,6.979,74.4828248378992,6.754
"69",2022-11-20 08:00:00,62.4289,6.993,74.5175040672552,6.755
"70",2022-11-20 08:15:00,62.4255,7.004,74.518524044589,6.754
"71",2022-11-20 08:30:00,62.4337,7.015,74.539943568603,6.754
"72",2022-11-20 08:45:00,62.4374,7.027,74.5338237045991,6.755
"73",2022-11-20 09:00:00,62.4548,7.037,74.5368836366011,6.755
"74",2022-11-20 09:15:00,62.4612,7.043,74.5185240445891,6.755
"75",2022-11-20 09:30:00,62.4685,7.048,74.4818048605651,6.755
"76",2022-11-20 09:45:00,62.4738,7.053,74.4563054272153,6.755
"77",2022-11-20 10:00:00,62.4693,7.059,74.5307637725971,6.755
"78",2022-11-20 10:15:00,62.4664,7.065,74.5001644525771,6.756
"79",2022-11-20 10:30:00,62.4683,7.07,74.4450856765412,6.756
"80",2022-11-20 10:45:00,62.4572,7.075,74.4685451552232,6.756
"81",2022-11-20 11:00:00,62.4517,7.08,74.4614053138851,6.756
"82",2022-11-20 11:15:00,62.4532,7.084,74.4420257445392,6.757
"83",2022-11-20 11:30:00,62.4397,7.085,74.4297860165313,6.756
"84",2022-11-20 11:45:00,62.4249,7.088,74.4399857898712,6.757
"85",2022-11-20 12:00:00,62.4065,7.087,74.4369258578693,6.756
"86",2022-11-20 12:15:00,62.3888,7.087,74.3604275578193,6.757
"87",2022-11-20 12:30:00,62.363,7.087,74.3349281244693,6.757
"88",2022-11-20 12:45:00,62.3457,7.087,74.2951490084434,6.756
"89",2022-11-20 13:00:00,62.3251,7.087,74.3124886231214,6.757
"90",2022-11-20 13:15:00,62.3041,7.088,74.2441501417436,6.757
"91",2022-11-20 13:30:00,62.2884,7.088,74.1788715923677,6.757
"92",2022-11-20 13:45:00,62.2618,7.088,74.2390502550736,6.757
"93",2022-11-20 14:00:00,62.244,7.091,74.1676518416937,6.758
"94",2022-11-20 14:15:00,62.242,7.09,74.1248127936657,6.758
"95",2022-11-20 14:30:00,62.2315,7.089,74.1166529749938,6.758
"96",2022-11-20 14:45:00,62.2279,7.087,74.0676940629618,6.758
"97",2022-11-20 15:00:00,62.2186,7.083,74.0064954229219,6.758
"98",2022-11-20 15:15:00,62.2165,7.08,74.0636141536258,6.758
"99",2022-11-20 15:30:00,62.2264,7.074,74.9397746835305,6.758
"100",2022-11-20 15:45:00,62.2398,7.073,75.7771760747431,6.757
"101",2022-11-20 16:00:00,62.2564,7.075,77.0358281048972,6.758
"102",2022-11-20 16:15:00,62.2584,7.078,79.7397880173269,6.758
"103",2022-11-20 16:30:00,62.2691,7.066,80.4629519471317,6.758
"104",2022-11-20 16:45:00,62.2652,7.081,80.6761272099375,6.759
"105",2022-11-20 17:00:00,62.265,7.097,80.8597231300571,6.758
"106",2022-11-20 17:15:00,62.2737,7.107,80.8964423140811,6.758
"107",2022-11-20 17:30:00,62.2853,7.116,81.0637185968568,6.758
"108",2022-11-20 17:45:00,62.2952,7.123,81.2330348343006,6.758
"109",2022-11-20 18:00:00,62.3022,7.122,82.0112775401413,6.758
"110",2022-11-20 18:15:00,62.3209,7.118,83.2097509075894,6.758
"111",2022-11-20 18:30:00,62.3378,7.116,83.8543765826764,6.759
"112",2022-11-20 18:45:00,62.3632,7.114,84.0940712561661,6.759
"113",2022-11-20 19:00:00,62.3881,7.121,84.2287082642539,6.759
"114",2022-11-20 19:15:00,62.4093,7.125,84.3745650230156,6.759
"115",2022-11-20 19:30:00,62.4205,7.126,84.3531454990017,6.759
"116",2022-11-20 19:45:00,62.4346,7.126,84.3470256349976,6.759
"117",2022-11-20 20:00:00,62.453,7.122,84.3409057709937,6.759
"118",2022-11-20 20:15:00,62.468,7.121,84.3857847736895,6.759
"119",2022-11-20 20:30:00,62.472,7.115,84.3980245016976,6.759
"120",2022-11-20 20:45:00,62.4769,7.114,84.3970045243636,6.759
"121",2022-11-20 21:00:00,62.4736,7.107,84.3776249550177,6.759
"122",2022-11-20 21:15:00,62.4706,7.104,84.3307059976538,6.76
"123",2022-11-20 21:30:00,62.4677,7.097,84.2899069042938,6.759
"124",2022-11-20 21:45:00,62.4661,7.089,84.216468536246,6.759
"125",2022-11-20 22:00:00,62.4702,7.082,84.11039089351,6.76
"126",2022-11-20 22:15:00,62.467,7.075,84.0665318681482,6.759
"127",2022-11-20 22:30:00,62.4551,7.073,84.0134930467802,6.76
"128",2022-11-20 22:45:00,62.4409,7.075,83.9329148373943,6.76
"129",2022-11-20 23:00:00,62.44,7.076,83.8747761293565,6.76
